,Agency,Base Pay,Other Pay,Overtime Pay,Total Pay,Benefits,Total Pay & Benefits,City,Latitude,Longitude
278,Santa Paula Unified,225500,5033,0,230533,37489,268022,Santa Paula,34.354167,-119.059269
279,Eureka City Schools,202486,20259,0,222745,44633,267378,Eureka,40.802072,-124.163672
280,Eureka Union,203858,0,0,203858,41811,245670,Eureka,40.802072,-124.163672
281,Dublin Unified,228066,0,0,228066,38400,266466,Dublin,37.702153,-121.935792
282,Modesto City Schools,175000,3800,0,178800,86489,265289,Modesto,37.639097,-120.996878
283,Folsom-Cordova Unified,249124,0,0,249124,15004,264128,Folsom,38.677958,-121.176058
284,Calexico Unified,200430,3600,0,204030,59247,263277,Calexico,32.678947,-115.498883
285,King City Union,211973,0,0,211973,50274,262247,King City,36.212744,-121.126028
286,Hollister School District,209000,0,0,209000,53148,262148,Hollister,36.852453,-121.401603
287,Duarte Unified,217944,6459,0,224403,37294,261697,Duarte,34.13945,-117.977286
288,Moorpark Unified,204228,0,0,204228,55067,259295,Moorpark,34.144897,-118.268742
289,Pacifica-San Mateo,212040,900,0,212940,45972,258912,Pacifica,37.613825,-122.486919
290,Ripon Unified,197232,14114,0,211347,46962,258309,Ripon,37.739453,-121.135414
291,Gonzales Unified,194854,13053,0,207908,49817,257726,Gonzales,36.506628,-121.444381
292,San Carlos Elementary,207499,0,0,207499,50047,257547,San Carlos,37.507158,-122.260522
293,Marysville Joint Unified,207200,14,0,207214,49791,257005,Marysville,39.145725,-121.591356
294,Azusa Unified,216700,2796,0,219496,36604,256100,Azusa,34.133619,-117.907564
295,Newhall,200000,13130,0,213130,42329,255459,Newark,37.529658,-122.040239
296,Dinuba Unified,194844,12403,0,207247,48209,255456,Dinuba,36.543283,-119.387067
297,Needles Unified,178500,28392,0,206892,47644,254536,Needles,34.848061,-114.614133
298,Baldy View ROP,204472,4309,0,208781,45048,253829,Morro Bay,35.365808,-120.8499
299,Atwater Elementary,204904,1000,0,205904,47816,253720,Atwater,37.347717,-120.609083
300,Shasta County Office of Education,204492,1200,0,205692,46599,252291,Mount Shasta,41.410806,-122.194575
